{
    ~none~  ~>=无=<~
  ~hitLancer~  ~>=蓝瑟击中=<~
  ~hitMeltdown~  ~>=融毁击中=<~
  ~despawn~  ~>=消失=<~
  ~flakExplosion~  ~>=破片爆炸=<~
  ~blastExplosion~  ~>=爆混爆炸=<~
  ~plasticExplosion~  ~>=塑料爆炸=<~
  ~artilleryTrail~  ~>=炮塔弹尾迹=<~
  ~incendTrail~  ~>=燃烧弹尾迹=<~
  ~missileTrail~  ~>=导弹尾迹=<~
  ~absorb~  ~>=吸引=<~
  ~flakExplosionBig~  ~>=破片弹大爆炸=<~
  ~plasticExplosionFlak~  ~>=塑料破片弹爆炸=<~
  ~burning~  ~>=燃烧=<~
  ~fire~  ~>=火焰=<~
  ~fireSmoke~  ~>=火焰烟雾=<~
  ~steam~  ~>=蒸汽=<~  
  ~fireballsmoke~  ~>=火球烟雾=<~
  ~ballfire~  ~>=获取=<~
  ~freezing~  ~>=冰冻=<~
  ~melting~  ~>=融化=<~
  ~wet~  ~>=湿水=<~
  ~oily~  ~>=沾油=<~
  ~overdriven~  ~>=超频=<~
  ~dropItem~  ~>=丢物品=<~
  ~shockwave~  ~>=冲击波=<~
  ~bigShockwave~  ~>=大冲击波=<~
  ~nuclearShockwave~  ~>=核冲击波=<~
  ~explosion~  ~>=爆炸=<~
  ~blockExplosion~  ~>=方块爆炸=<~
  ~blockExplosionSmoke~  ~>=方块爆炸烟雾=<~
  ~shootSmall~  ~>=小型射击=<~
  ~shootHeal~  ~>=射击治疗弹=<~
  ~shootSmallSmoke~  ~>=小型射击烟雾=<~
  ~shootBig~  ~>=大型射击=<~
  ~shootBig2~  ~>=大型射击2=<~
  ~shootBigSmoke~  ~>=大型射击烟雾=<~
  ~shootBigSmoke2~  ~>=大型射击烟雾2=<~
  ~shootSmallFlame~  ~>=小型射击火焰=<~
  ~shootPyraFlame~  ~>=硫射击火焰=<~
  ~shootLiquid~  ~>=射击液体=<~
  ~shellEjectSmall~  ~>=小型喷射=<~
  ~shellEjectMedium~  ~>=中型喷射=<~
  ~shellEjectBig~  ~>=大型喷射=<~
  ~lancerLaserShoot~  ~>=蓝瑟射击=<~
  ~lancerLaserShootSmoke~  ~>=蓝瑟射击烟雾=<~
  ~lancerLaserCharge~  ~>=蓝瑟充能=<~
  ~lancerLaserChargeBegin~  ~>=蓝瑟开始充能=<~
  ~lightningCharge~  ~>=电弧充能=<~
  ~lightningShoot~  ~>=电弧射击=<~
  ~unitSpawn~  ~>=单位生成=<~
  ~spawnShockwave~  ~>=生成冲击波=<~
  ~magmasmoke~  ~>=岩浆烟雾=<~
  ~impactShockwave~  ~>=冲击堆冲击波=<~
  ~impactcloud~  ~>=冲击堆云=<~
  ~impactsmoke~  ~>=冲击堆烟雾=<~
  ~dynamicExplosion~  ~>=集束炸弹=<~
  ~padlaunch~  ~>=发射台发射=<~
  ~commandSend~  ~>=命令发送=<~
  ~coreLand~  ~>=核心着陆=<~
}
